t_enc,alpha_grd,timestamp,dataset,k,alpha,tau,thresh,thresh_silent,thresh_silent_chirp,guard_cells,ref_cells,monotonicity_thresh,t_monotonicity,detection_area,recall,precision,f_score,recall_ext,precision_ext,f_score_ext,iou_score_ext,inactive_percentage
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,125,13,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.4409378145028893,0.6467908787541733,0.5243854568961732,0.5025820506633353,0.7672339312172595,0.6073289436504777,0.48379377195174267,84.91266317673687
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,125,16,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.4632904285184619,0.6568078288044944,0.5433322938502119,0.5298311829846868,0.7841644284692826,0.6323837918586935,0.5075056273722398,82.08199977235758
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,125,19,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.48372212511255874,0.6604769850098023,0.5584470834809087,0.554138541972383,0.7939554901113554,0.6527160924192357,0.5279871355305464,79.30358921681284
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,125,22,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.5027480269082045,0.6631478097356888,0.5719142989535776,0.5760975592290083,0.8020246879013341,0.670542054960318,0.5458258140895049,76.56404312492596
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,125,25,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.5209784681392009,0.6636310185920903,0.5837155154162832,0.5967050454679975,0.8071673320677828,0.6861604001304045,0.5619527608781045,73.85567902520721
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,125,28,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.5388462047777941,0.6608471052492227,0.5936433064308735,0.6167382212849724,0.8107416360330272,0.7005567867911502,0.5768804400675775,71.17307399190508
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,125,31,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.5575308543884734,0.6581704098027845,0.603684998446137,0.6360053394194113,0.8127988683954956,0.7136152888252196,0.5904942650576762,68.51200161922132
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,125,34,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.5738550770697595,0.6484878701202442,0.6088930352937125,0.6521995730353073,0.8093144220213943,0.7223119568713154,0.5999168890425838,65.86946289118127
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,125,37,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.590048334127866,0.6392662682762829,0.6136720296895825,0.6680445597502662,0.8054614716402503,0.7303453655472412,0.6085890953919421,63.24285345869189
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,125,40,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.6074388209121239,0.6315826507567366,0.6192754949938134,0.6848095620505756,0.801529516869011,0.7385866139289472,0.6173643033303552,60.63052273943827
